Company,SalesRep,TEZRevenue,URL
JW Marriott Denver Cherry Creek,Shane Daugherty,,
K-7 Parking Company,Troy Wilkinson,"$29,067.98 ",
Kaholo Valet Service,Kevin Cobb,$0.00 ,
Kamp Houston LLC - A Life Hospitality Group,Shane Daugherty,,
"KBE Enterprises, LLC",Connor Gray,$0.00 ,
Key Parking Services,Luis Salazar,"$24,247.57 ",
Kinetic Productions,Andrew Sherstad,$30.48 ,
King Kamehameha Kona Beach Hotel,Kevin Cobb,,
Kings Valet LLC,Kosta Alexopoulos,,
Kiowa Parking World,Ken Lovegreen,$2.40 ,
Kiowa Parking World,Geremy Rodamer,$2.09 ,
Kiowa Parking World,Mark Berglund,$0.00 ,
KKDD LLC,Troy Wilkinson,"$34,731.89 ",
Koucar Management LLC,Andrew Sherstad,$0.00 ,
KWIK Park,Kevin Cobb,$612.24 ,
La Perla Condominium Association Inc,Luis Salazar,$0.00 ,
Lahaina Restoration Foundation,Kevin Cobb,$0.00 ,
Lakeland Valet,Luis Salazar,$92.02 ,
Lakeview Valet,Andrew Sherstad,$80.84 ,
Langham Hospitality Group,Troy Wilkinson,$0.00 ,
Lanier Parking Solutions,Shane Daugherty,"$739,987.36 ",
Lanier Parking Solutions,Connor Gray,"$29,073.82 ",
Lanier Parking Solutions,John Matiz,"$10,313.37 ",
Lanier Parking Solutions,Mark Berglund,$627.25 ,
Lanier Parking Solutions,Luis Salazar,,
Las Olas River House Condominium Association,Luis Salazar,"$35,641.44 ",
Las Vegas Parking Inc,Kevin Cobb,$453.80 ,
LAZ Chicago,Kosta Alexopoulos,$0.00 ,
LAZ Miami,Luis Salazar,$0.00 ,
LAZ Parking - CO/MO,Christen Woods,$0.00 ,
LAZ Parking - Dallas,Christen Woods,"$109,027.44 ",
LAZ Parking - Denver,Mark Berglund,"$3,021.30 ",
LAZ Parking - GA,John Matiz,"$5,617.95 ",
LAZ Parking - Los Angeles,Mark Berglund,"$88,177.46 ",
LAZ Parking - MD,Andrew Sherstad,$0.00 ,
LAZ Parking - New York,Andrew Sherstad,"$18,587.61 ",
LAZ Parking - NorCal,Mark Berglund,"$14,835.70 ",
LAZ Parking - PA,Andrew Sherstad,"$3,398.41 ",
LAZ Parking - San Diego,Mark Berglund,$241.60 ,
LAZ Parking Mid-Atlantic LLC,Kosta Alexopoulos,$0.00 ,
LAZ/The Ultimate Companies,Andrew Sherstad,"$6,539.96 ",
Lewiston-Nez Perce County Regional Airport,Kevin Cobb,"$10,405.35 ",
Lexington Rescue Mission,Troy Wilkinson,$0.00 ,
